gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
661.5,30.09999990463257,29.0,420.5,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.988,487
588.0,27.199999809265137,29.65,420.5,83.0,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.078,487
514.5,24.299999713897705,29.63402061872184,420.5,83.03092783503234,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.069546391509474,487
441.0,21.399999618530273,29.618041237443684,420.5,83.06185567006469,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.061092783018947,487
367.5,18.499999523162842,29.602061856165527,420.5,83.09278350509703,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.05263917452842,487
294.0,15.59999942779541,29.58608247488737,420.5,83.12371134012938,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.044185566037894,487
220.5,12.699999332427979,29.570103093609212,420.5,83.15463917516172,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.035731957547367,487
147.0,9.799999237060547,29.554123712331055,420.5,83.18556701019406,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.02727834905684,487
73.5,6.899999141693115,29.538144331052898,420.5,83.2164948452264,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.018824740566314,487
0.0,4.0,29.52216494977474,420.5,83.24742268025875,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.010371132075787,487
0.0,4.0,29.506185568496583,420.5,83.2783505152911,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,4.00191752358526,487
0.0,4.0,29.490206187218426,420.5,83.30927835032344,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9934639150947335,487
0.0,4.0,29.47422680594027,420.5,83.34020618535578,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.985010306604207,487
0.0,4.0,29.45824742466211,420.5,83.37113402038813,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.97655669811368,487
0.0,4.0,29.442268043383955,420.5,83.40206185542047,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9681030896231535,487
0.0,4.0,29.426288662105797,420.5,83.43298969045281,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.959649481132627,487
0.0,4.0,29.41030928082764,420.5,83.46391752548516,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9511958726421,487
0.0,4.0,29.394329899549483,420.5,83.4948453605175,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9427422641515735,487
0.0,4.0,29.378350518271326,420.5,83.52577319554985,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.934288655661047,487
0.0,4.0,29.36237113699317,420.5,83.55670103058219,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.92583504717052,487
0.0,4.0,29.34639175571501,420.5,83.58762886561453,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9173814386799934,487
0.0,4.0,29.330412374436854,420.5,83.61855670064688,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.9089278301894668,487
0.0,4.0,29.314432993158697,420.5,83.64948453567922,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.90047422169894,487
0.0,4.0,29.29845361188054,420.5,83.68041237071157,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8920206132084134,487
0.0,4.0,29.282474230602382,420.5,83.71134020574391,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8835670047178867,487
0.0,4.0,29.266494849324225,420.5,83.74226804077625,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.87511339622736,487
0.0,4.0,29.250515468046068,420.5,83.7731958758086,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8666597877368334,487
0.0,4.0,29.23453608676791,420.5,83.80412371084094,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8582061792463067,487
0.0,4.0,29.218556705489753,420.5,83.83505154587328,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.84975257075578,487
0.0,4.0,29.202577324211596,420.5,83.86597938090563,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8412989622652534,487
0.0,4.0,29.18659794293344,420.5,83.89690721593797,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8328453537747267,487
0.0,4.0,29.17061856165528,420.5,83.92783505097032,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8243917452842,487
0.0,4.0,29.154639180377124,420.5,83.95876288600266,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8159381367936733,487
0.0,4.0,29.138659799098967,420.5,83.989690721035,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.8074845283031467,487
0.0,4.0,29.12268041782081,420.5,84.02061855606735,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.79903091981262,487
